Team Name,Year,Wins,Losses,Home Wins,Home Losses,Road Wins,Road Losses,Margin <= 3 Victories,Margin <= Losses,Margin >= 10 Victories,Margin >= Losses,PPG,Off Rating,Def Rating,Pace,FG%,FG3%,FT%,Off RBG,Def RBG,Assists / Game,Steals / Game,Blocks / Game,Turnovers / Game,Fouls / Game,Reached Finals,Finals Win
Sacramento Kings,2003,59,23,35,6,24,17,11,2,31,11,101.7,105.9,99.1,95.4,0.464,0.381,0.746,11,33.5,24.8,9,5.6,14.5,20.3,0,0
Miami Heat,2005,59,23,35,6,24,17,7,8,33,6,101.5,110.2,103.1,90.8,0.486,0.377,0.672,10.8,32.2,21.8,6.4,5.8,13.7,22.1,0,0
Philadelphia 76ers,1985,58,24,34,7,24,17,11,5,26,8,112.9,111.3,107.3,100.8,0.492,0.263,0.803,15.9,28.8,24.4,10,6.5,19.2,24,0,0
Milwaukee Bucks,1986,57,25,33,8,24,17,4,10,39,7,114.5,111.4,102.7,102.1,0.493,0.327,0.764,14.5,29.5,26.3,9.8,5.6,16.7,27,0,0
Portland Trail Blazers,1992,57,25,33,8,24,17,3,5,31,9,111.4,111.4,104.2,99,0.473,0.344,0.754,15.8,31.1,25.2,9.2,5,16.2,24.2,1,0
San Antonio Spurs,2004,57,25,33,8,24,17,6,8,38,5,91.5,102.2,94.1,89.2,0.442,0.358,0.681,12.5,32.5,20.4,8.1,6.5,14.7,20.3,0,0
Toronto Raptors,2016,56,26,32,9,24,17,6,6,28,10,102.7,110,105.2,92.9,0.451,0.37,0.777,10.2,33.2,18.7,7.8,5.5,13.1,19.6,0,0
Los Angeles Clippers,2013,56,26,32,9,24,17,3,5,38,12,101.1,110.6,103.6,91.1,0.478,0.358,0.711,11.4,30.2,23.9,9.6,5.6,14.6,20.9,0,0
Memphis Grizzlies,2013,56,26,32,9,24,17,6,4,28,9,93.4,104.9,100.3,88.4,0.444,0.345,0.773,12.9,29.8,20.9,8.6,5.3,14,20.2,0,0
Golden State Warriors,1992,55,27,31,10,24,17,7,6,25,11,118.7,113.6,109.9,103.4,0.507,0.333,0.746,13.9,29,25.2,10.4,4.6,16.5,25,0,0
Milwaukee Bucks,1982,55,27,31,10,24,17,6,9,30,8,108.4,107.7,102.3,100,0.505,0.299,0.753,14.2,29.5,27.2,9.3,5.5,19.4,27.8,0,0
Houston Rockets,1993,55,27,31,10,24,17,6,4,30,13,104,109.6,105.2,94.4,0.486,0.361,0.758,12,30.9,25.8,8.3,6.6,15.8,20.7,0,0
Memphis Grizzlies,2015,55,27,31,10,24,17,9,3,26,13,98.3,105.7,102.2,92,0.458,0.339,0.773,10.4,32.1,21.7,8.5,4.2,13.3,19.1,0,0
Chicago Bulls,1994,55,27,31,10,24,17,13,4,25,16,98,106.1,102.7,91.9,0.476,0.354,0.705,13.9,29.2,25.6,9,4.3,15.9,21.3,0,0
Houston Rockets,2008,55,27,31,10,24,17,9,3,31,11,96.7,106.8,101.6,90.4,0.448,0.342,0.726,12.2,32.4,21.4,7.3,5.1,13.7,19.6,0,0
Utah Jazz,2000,55,27,31,10,24,17,7,8,31,9,96.5,107.3,102.3,89.6,0.464,0.385,0.773,11.4,29.6,24.9,7.7,5.4,14.9,24.5,0,0
